archetype_id,deposit_cmmi,deposit_mdo,ore_type,mining_method,mining_submethod,main_id,facility_group_id,source_id
ARCH-bfbcd72e-1,,"Veing / narrow vein, Mesothermal",Sulfide,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,ON-MAIN-bfbcd72e,GRP-147b3123,https://miningdataonline.com/property/98/McClean-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-089f3c60-1,,Banded iron formation,Oxide,Open-pit,Surface – Truck & Shovel,QC-MAIN-089f3c60,,https://miningdataonline.com/property/59/Mount-Milligan-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-1c674cd0-1,,"Vein / narrow vein, Mesothermal",Sulfide,"Open-pit, underground",Underground – Caving – Sublevel Caving,ON-MAIN-1c674cd0,GRP-0d911886,https://miningdataonline.com/property/72/Brucejack-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-857b7b89-1,,"Breccia pipe / Stockwork, Vein / narrow vein, Epithermal",Oxide or Sulfide,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,BC-MAIN-857b7b89,,https://miningdataonline.com/property/72/Brucejack-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-e7e6a960-1,Metamorphic hydrothermal;Orogenic;Mesozonal orogenic Au,Disseminated gold deposit,Sulfide,"Underground, concentrator",Surface – Truck & Shovel,QC-MAIN-e7e6a960,,https://miningdataonline.com/property/20/Canadian-Malartic-Complex.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-dd723db4-1,,Banded iron formation,Oxide,"Open-pit, concentrator",Surface – Truck & Shovel,NL-MAIN-dd723db4,,https://miningdataonline.com/property/61/Mount-Polley.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-b86f7d07-1,,"Breccia pipe / Stockwork, Vein / narrow vein, Banded iron formation hosted",Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",QC-MAIN-b86f7d07,,https://miningdataonline.com/property/4563/Keno-Hill-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-91cf5448-1,,Unconformity-related,,Underground,,SK-MAIN-91cf5448,,https://miningdataonline.com/property/17/Ekati-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-de2f9639-1,,"Magmatic, Footwal hosted, Breccia pipe / stockwork",Sulfide,Concentrator,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",ON-MAIN-de2f9639,GRP-dc07540b,https://miningdataonline.com/property/1377/Thompson-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-6e9b2449-1,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE,"Magmatic, Footwall hosted, Breccia pipe / Stockwork",Sulfide,Underground,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",ON-MAIN-6e9b2449,GRP-dc07540b,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-f080c409-1,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE,"Magmatic, Footwal hosted, Breccia pipe / stockwork",Sulfide,Underground,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",ON-MAIN-f080c409,GRP-dc07540b,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-599152a0-1,,"Alkalic porphyry copper–gold deposit (silica saturated), typical of BC's Cordillera deposits​",Sulfide,Concentrator,,BC-MAIN-599152a0,,https://miningdataonline.com/property/24/Casa-Berardi-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-52224e1e-1,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE,"Magmatic, Footwal hosted, Breccia pipe / stockwork",Sulfide,Underground,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",ON-MAIN-52224e1e,GRP-dc07540b,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-aeafbb59-1,Metamorphic hydrothermal;Orogenic;Mesozonal orogenic Au,Disseminated and structurally controlled lode gold deposit​,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,ON-MAIN-aeafbb59,,https://miningdataonline.com/property/13/Detour-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-0ec39ce0-1,,Kimberlite,,"Underground, plant",Underground – Caving – Sublevel Caving,NT-MAIN-0ec39ce0,,https://miningdataonline.com/property/955/Lac-Tio-(Havre-St-Pierre)-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-e09881ff-1,,Iron formation hosted,Oxide,Open-pit,Surface – Truck & Shovel,NL-MAIN-e09881ff,GRP-2a663492,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-b8c826a2-1,,Iron formation hosted,Oxide,Open-pit,Surface – Truck & Shovel,QC-MAIN-b8c826a2,GRP-2a663492,https://miningdataonline.com/property/941/Howse-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-e05ed9fe-1,,"Vein / narrow vein, Intrusion related",Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,YT-MAIN-e05ed9fe,,https://miningdataonline.com/property/1596/Eagle-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-cb85213a-1,,"Mesothermal, Vein / narrow vein",Sulfide,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,ON-MAIN-cb85213a,,https://miningdataonline.com/property/1238/Mishi-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-6c1d6ee6-1,,Kimberlite,,"Underground, plant","Surface – Truck & Shovel, Underground – Caving – Sublevel Caving",NT-MAIN-6c1d6ee6,,"https://miningdataonline.com/property/49/Hemlo-Williams,-David-Bell-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496"
ARCH-6dc537e6-1,,"Breccia pipe / Stockwork, Sediment-hosted",,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,QC-MAIN-6dc537e6,,https://miningdataonline.com/property/63/Musselwhite-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-4724f4ba-1,,"Intrusion related, Vein / narrow vein",,"Underground, concentrator",Surface – Truck & Shovel,BC-MAIN-4724f4ba,,https://miningdataonline.com/property/3134/Elk-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-33c09b8b-1,,Banded iron formation,Oxide,Open-pit,Surface – Truck & Shovel,QC-MAIN-33c09b8b,GRP-1402249f,https://miningdataonline.com/property/963/Fire-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-4e0734b5-1,,"Vein / narrow vein, Intrusion related, Breccia pipe / Stockwork, Porphyry, Epithermal",Oxide or Sulfide,"Open-pit, underground, concentrator",Underground – Stoping – Long-Hole Stoping,ON-MAIN-4e0734b5,,https://miningdataonline.com/property/454/Eagle-Mine-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-206041d1-1,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE,"Veing / narrow vein, Contact-metasomatic, Footwall hosted",Sulfide,Underground,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",ON-MAIN-206041d1,GRP-de097f20,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-94e652a5-1,,Kimberlite,,"Open-pit, plant",Surface – Truck & Shovel,NT-MAIN-94e652a5,,https://miningdataonline.com/property/3027/Bloom-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-48fe2205-1,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE,"Magmatic, Footwal hosted, Breccia pipe / stockwork",Sulfide,Underground,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",ON-MAIN-48fe2205,GRP-dc07540b,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-6b4800fe-1,,Porphyry,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,BC-MAIN-6b4800fe,,https://miningdataonline.com/property/4651/Scully-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-c0660aec-1,,"Vein / narrow vein, Skarn, Hydrothermal",Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",QC-MAIN-c0660aec,,https://miningdataonline.com/property/44/Goldex-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-6e9be24e-1,Metamorphic hydrothermal;Orogenic;Mesozonal orogenic Au,"Orogenic, Breccia pipe / Stockwork",Sulfide,"Open-pit, underground, concentrator",Underground – Stoping – Long-Hole Stoping,ON-MAIN-6e9be24e,,https://miningdataonline.com/property/57/Mary-River-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-bf503b6b-1,,"Porphyry, Breccia pipe / Stockwork, Vein / narrow vein",Sulfide,Open-pit,Surface – Truck & Shovel,BC-MAIN-bf503b6b,,https://miningdataonline.com/property/50/Highland-Valley-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-8629a493-1,,"Vein / narrow vein, Porphyry",Sulfide,"Underground, concentrator",Surface – Truck & Shovel,ON-MAIN-8629a493,GRP-0d911886,https://miningdataonline.com/property/420/Hollinger-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-538513cd-1,,Vein / narrow vein,Sulfide,Open-pit,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping, Underground – Stoping – Shrinkage Stoping",ON-MAIN-538513cd,GRP-0d911886,https://miningdataonline.com/property/1439/Hoyle-Pond-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-687b8c8d-1,,Vein / narrow vein,Sulfide,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,ON-MAIN-687b8c8d,,https://miningdataonline.com/property/7/Island-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-44857446-1,Magmatic hydrothermal;Vein;Vein polymetallic,"Hydrothermal, Vein / narrow vein",Sulfide,"Open-pit, underground, concentrator",Underground – Stoping – Cut-and-Fill Stoping,YT-MAIN-44857446,,https://miningdataonline.com/property/3134/Elk-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-GRP-21eee27d-1,,Unconformity-related,,"Underground, concentrator",,,GRP-21eee27d,https://miningdataonline.com/property/26/Cigar-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-f8313ebd-1,Volcanic basin hydrothermal;Volcanogenic massive sulfide (VMS);Bimodal-mafic VMS,VMS,Sulfide,Underground,Underground – Stoping – Long-Hole Stoping,ON-MAIN-f8313ebd,,https://miningdataonline.com/property/960/Ming-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-9de9bb0d-1,,"Vein / narrow vein, Breccia pipe / Stockwork, Orogenic",Sulfide,"Open-pit, concentrator",Underground – Stoping – Long-Hole Stoping,QC-MAIN-9de9bb0d,,https://miningdataonline.com/property/1596/Eagle-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-a3c56a83-1,,"Magmatic, Intrusion related",Sulfide,"Open-pit, underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",ON-MAIN-a3c56a83,,https://miningdataonline.com/property/77/Westwood-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-e82266c5-1,,"Magmatic, Intrusion related",,Open-pit,Surface – Truck & Shovel,QC-MAIN-e82266c5,GRP-25483238,https://miningdataonline.com/property/9/Timmins-West-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-f9e41c2a-1,,"Vein / narrow vein, Orogenic",Sulfide,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,QC-MAIN-f9e41c2a,,https://miningdataonline.com/property/40/Gahcho-Ku%C3%A9-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-e51eda66-1,,Polymetallic massive sulphide and lode gold deposit,,"Open-pit, underground, concentrator",,QC-MAIN-e51eda66,,https://miningdataonline.com/property/46/LaRonde-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-1f126a43-1,,"Vein / narrow vein, Breccia pipe / Stockwork",Sulfide,Concentrator,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",ON-MAIN-1f126a43,,https://miningdataonline.com/property/453/Macassa-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-8825d90d-1,,"Vein / narrow vein, Orogenic, Breccia pipe / Stockwork",Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,ON-MAIN-8825d90d,,https://miningdataonline.com/property/1752/Magino-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-5154702a-1,,Banded iron formation,Oxide,Open-pit,Surface – Truck & Shovel,NU-MAIN-5154702a,,https://miningdataonline.com/property/1752/Magino-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-60ba74c4-1,,"Unconformity related, Vein / narrow vein",Sulfide,Concentrator,,SK-MAIN-60ba74c4,,https://miningdataonline.com/property/1439/Hoyle-Pond-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-7001a391-1,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE,"Vein / narrow vein, Breccia pipe / Stockwork, Footwall hosted",Sulfide,Underground,,ON-MAIN-7001a391,,https://miningdataonline.com/property/23/Carol-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-GRP-0a2c0d69-1,Metamorphic hydrothermal;Orogenic;Mesozonal orogenic Au,"Mesothermal lode-gold mineralization (including hybrid, stratiform, and vein-type iron-formation-hosted gold deposits)​",Sulfide,"Open-pit, concentrator",,,GRP-0a2c0d69,https://miningdataonline.com/property/47/Meadowbank-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-8b0264c9-1,,"Mesothermal lode gold deposits, primarily iron-formation-hosted",,"Underground, concentrator",,NU-MAIN-8b0264c9,,https://miningdataonline.com/property/959/Meliadine-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-c139de6d-1,,VMS,Sulfide,Concentrator,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",NL-MAIN-c139de6d,,https://miningdataonline.com/property/234/Red-Lake-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-752fbcae-1,,Porphyry,Sulfide,"Open-pit, underground, concentrator",,YT-MAIN-752fbcae,,https://miningdataonline.com/property/588/Fox-Complex.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-c5fefb01-1,,"Vein / narrow vein, Mesothermal",Sulfide,Open-pit,Surface – Truck & Shovel,ON-MAIN-c5fefb01,,https://miningdataonline.com/property/3048/Kiena-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-084bd95c-1,,Banded iron formation,Oxide,"Open-pit, concentrator",Surface – Truck & Shovel,QC-MAIN-084bd95c,GRP-1402249f,https://miningdataonline.com/property/962/Mont-Wright-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-c9c77a59-1,,"Vein / narrow vein, Mesothermal",Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,NS-MAIN-c9c77a59,,https://miningdataonline.com/property/1552/15-Mile-and-Beaver-Dam-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-ed23117f-1,,"Porphyry, Breccia pipe / Stockwork, Vein / narrow vein",Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,BC-MAIN-ed23117f,,https://miningdataonline.com/property/1603/Nunavik-Nickel-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-3f490561-1,,"Porphyry, Breccia pipe / Stockwork",Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,BC-MAIN-3f490561,,https://miningdataonline.com/property/55/Lac-des-Iles-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-fefeaee4-1,Metamorphic hydrothermal;Orogenic;Mesozonal orogenic Au,"Iron formation hosted, Vein / narrow vein, Stratabound",Sulfide,Concentrator,Underground – Stoping – Long-Hole Stoping,ON-MAIN-fefeaee4,,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-23155c25-1,,VMS,Sulfide,Underground,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",BC-MAIN-23155c25,,https://miningdataonline.com/property/64/Myra-Falls-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-aa76f6f2-1,,Alkalic coppergold porphyry,Sulfide,"Open-pit, underground, concentrator",Underground – Caving – Block Caving,BC-MAIN-aa76f6f2,,https://miningdataonline.com/property/58/Minto-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-a555d9b9-1,,"Magmatic, Metasomatic",,"Underground, concentrator",,QC-MAIN-a555d9b9,,"https://miningdataonline.com/property/173/McCreedy-West,--Morrison-Levack-Sudbury-Basin-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496"
ARCH-dc1a16f9-1,,Pegmatite,Oxide,"Open-pit, underground",Surface – Truck & Shovel,QC-MAIN-dc1a16f9,,https://miningdataonline.com/property/1628/North-American-Lithium-NAL-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-5ce331b8-1,,Magmatic,,"Open-pit, underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",QC-MAIN-5ce331b8,,https://miningdataonline.com/property/1603/Nunavik-Nickel-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-f021107e-1,,"Vein / narrow vein, Orogenic",Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,NL-MAIN-f021107e,,https://miningdataonline.com/property/12/Niobec-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-3b3e5365-1,Magmatic hydrothermal;Vein;Vein polymetallic,"Breccia pipe / Stockwork, Vein / narrow vein",Sulfide,Underground,"Surface – Truck & Shovel, Underground – Caving – Sublevel Caving, Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping, Underground – Stoping – Shrinkage Stoping",ON-MAIN-3b3e5365,,https://miningdataonline.com/property/69/Rainy-River-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-a97821c0-1,Magmatic;Komatiite;Komatiite Ni-Cu-PGE,"Magmatic, Footwall hosted",Sulfide,Concentrator,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping",QC-MAIN-a97821c0,,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-0aadf28f-1,,"VMS, vein/narrow vein",Sulfide,"Underground, concentrator","Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping",ON-MAIN-0aadf28f,,https://miningdataonline.com/property/11/new-afton-mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-8eb8be0d-1,,Porphyry,Sulfide,"Open-pit, concentrator",Surface – Truck & Shovel,BC-MAIN-8eb8be0d,,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
ARCH-7f050560-1,,"Vein / narrow vein, Replacement, Breccia pipe / Stockwork",Sulfide,"Underground, concentrator",Underground – Stoping – Long-Hole Stoping,ON-MAIN-7f050560,,https://miningdataonline.com/property/1694/Lamaque-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496
