carbon_stock_ecosystems_id,pool,variable,unit,value,main_id,facility_group_id,source_id
carbon_stock-35d0dc71-1,agbc,area_ha,ha,49.315624,AB-MAIN-35d0dc71,,https://zenodo.org/records/15777016
carbon_stock-35d0dc71-2,agbc,mean_act,tC/ha,10.0,AB-MAIN-35d0dc71,,https://zenodo.org/records/15777016
carbon_stock-35d0dc71-3,agbc,mean_prim,tC/ha,36.0,AB-MAIN-35d0dc71,,https://zenodo.org/records/15777016
carbon_stock-35d0dc71-4,bgbc,area_ha,ha,49.315624,AB-MAIN-35d0dc71,,https://zenodo.org/records/15777016
carbon_stock-35d0dc71-5,bgbc,mean_act,tC/ha,3.0,AB-MAIN-35d0dc71,,https://zenodo.org/records/15777016
carbon_stock-35d0dc71-6,bgbc,mean_prim,tC/ha,10.0,AB-MAIN-35d0dc71,,https://zenodo.org/records/15777016
carbon_stock-35d0dc71-7,soc,area_ha,ha,49.315624,AB-MAIN-35d0dc71,,https://zenodo.org/records/15777016
carbon_stock-35d0dc71-8,soc,mean_act,tC/ha,69.0,AB-MAIN-35d0dc71,,https://zenodo.org/records/15777016
carbon_stock-35d0dc71-9,soc,mean_prim,tC/ha,78.0,AB-MAIN-35d0dc71,,https://zenodo.org/records/15777016
carbon_stock-63f096a6-1,agbc,area_ha,ha,44.858112,AB-MAIN-63f096a6,,https://zenodo.org/records/15777016
carbon_stock-63f096a6-2,agbc,mean_act,tC/ha,69.0,AB-MAIN-63f096a6,,https://zenodo.org/records/15777016
carbon_stock-63f096a6-3,agbc,mean_prim,tC/ha,69.0,AB-MAIN-63f096a6,,https://zenodo.org/records/15777016
carbon_stock-63f096a6-4,bgbc,area_ha,ha,44.858112,AB-MAIN-63f096a6,,https://zenodo.org/records/15777016
carbon_stock-63f096a6-5,bgbc,mean_act,tC/ha,22.0,AB-MAIN-63f096a6,,https://zenodo.org/records/15777016
carbon_stock-63f096a6-6,bgbc,mean_prim,tC/ha,22.0,AB-MAIN-63f096a6,,https://zenodo.org/records/15777016
carbon_stock-63f096a6-7,soc,area_ha,ha,44.858112,AB-MAIN-63f096a6,,https://zenodo.org/records/15777016
carbon_stock-63f096a6-8,soc,mean_act,tC/ha,71.0,AB-MAIN-63f096a6,,https://zenodo.org/records/15777016
carbon_stock-63f096a6-9,soc,mean_prim,tC/ha,75.0,AB-MAIN-63f096a6,,https://zenodo.org/records/15777016
carbon_stock-7d4a0421-1,agbc,area_ha,ha,53.1231,AB-MAIN-7d4a0421,,https://zenodo.org/records/15777016
carbon_stock-7d4a0421-2,agbc,mean_act,tC/ha,2.0,AB-MAIN-7d4a0421,,https://zenodo.org/records/15777016
carbon_stock-7d4a0421-3,agbc,mean_prim,tC/ha,49.0,AB-MAIN-7d4a0421,,https://zenodo.org/records/15777016
carbon_stock-7d4a0421-4,bgbc,area_ha,ha,53.1231,AB-MAIN-7d4a0421,,https://zenodo.org/records/15777016
carbon_stock-7d4a0421-5,bgbc,mean_act,tC/ha,1.0,AB-MAIN-7d4a0421,,https://zenodo.org/records/15777016
carbon_stock-7d4a0421-6,bgbc,mean_prim,tC/ha,13.0,AB-MAIN-7d4a0421,,https://zenodo.org/records/15777016
carbon_stock-7d4a0421-7,soc,area_ha,ha,53.1231,AB-MAIN-7d4a0421,,https://zenodo.org/records/15777016
carbon_stock-7d4a0421-8,soc,mean_act,tC/ha,93.0,AB-MAIN-7d4a0421,,https://zenodo.org/records/15777016
carbon_stock-7d4a0421-9,soc,mean_prim,tC/ha,93.0,AB-MAIN-7d4a0421,,https://zenodo.org/records/15777016
carbon_stock-8434dce0-1,agbc,area_ha,ha,53.96269,AB-MAIN-8434dce0,,https://zenodo.org/records/15777016
carbon_stock-8434dce0-2,agbc,mean_act,tC/ha,68.0,AB-MAIN-8434dce0,,https://zenodo.org/records/15777016
carbon_stock-8434dce0-3,agbc,mean_prim,tC/ha,68.0,AB-MAIN-8434dce0,,https://zenodo.org/records/15777016
carbon_stock-8434dce0-4,bgbc,area_ha,ha,53.96269,AB-MAIN-8434dce0,,https://zenodo.org/records/15777016
carbon_stock-8434dce0-5,bgbc,mean_act,tC/ha,22.0,AB-MAIN-8434dce0,,https://zenodo.org/records/15777016
carbon_stock-8434dce0-6,bgbc,mean_prim,tC/ha,22.0,AB-MAIN-8434dce0,,https://zenodo.org/records/15777016
carbon_stock-8434dce0-7,soc,area_ha,ha,53.96269,AB-MAIN-8434dce0,,https://zenodo.org/records/15777016
carbon_stock-8434dce0-8,soc,mean_act,tC/ha,68.0,AB-MAIN-8434dce0,,https://zenodo.org/records/15777016
carbon_stock-8434dce0-9,soc,mean_prim,tC/ha,68.0,AB-MAIN-8434dce0,,https://zenodo.org/records/15777016
carbon_stock-9a0307f6-1,agbc,area_ha,ha,45.897076,AB-MAIN-9a0307f6,,https://zenodo.org/records/15777016
carbon_stock-9a0307f6-2,agbc,mean_act,tC/ha,47.0,AB-MAIN-9a0307f6,,https://zenodo.org/records/15777016
carbon_stock-9a0307f6-3,agbc,mean_prim,tC/ha,47.0,AB-MAIN-9a0307f6,,https://zenodo.org/records/15777016
carbon_stock-9a0307f6-4,bgbc,area_ha,ha,45.897076,AB-MAIN-9a0307f6,,https://zenodo.org/records/15777016
carbon_stock-9a0307f6-5,bgbc,mean_act,tC/ha,12.0,AB-MAIN-9a0307f6,,https://zenodo.org/records/15777016
carbon_stock-9a0307f6-6,bgbc,mean_prim,tC/ha,12.0,AB-MAIN-9a0307f6,,https://zenodo.org/records/15777016
carbon_stock-9a0307f6-7,soc,area_ha,ha,45.897076,AB-MAIN-9a0307f6,,https://zenodo.org/records/15777016
carbon_stock-9a0307f6-8,soc,mean_act,tC/ha,59.0,AB-MAIN-9a0307f6,,https://zenodo.org/records/15777016
carbon_stock-9a0307f6-9,soc,mean_prim,tC/ha,69.0,AB-MAIN-9a0307f6,,https://zenodo.org/records/15777016
carbon_stock-9fed34a8-1,agbc,area_ha,ha,51.078453,AB-MAIN-9fed34a8,,https://zenodo.org/records/15777016
carbon_stock-9fed34a8-2,agbc,mean_act,tC/ha,3.0,AB-MAIN-9fed34a8,,https://zenodo.org/records/15777016
carbon_stock-9fed34a8-3,agbc,mean_prim,tC/ha,46.0,AB-MAIN-9fed34a8,,https://zenodo.org/records/15777016
carbon_stock-9fed34a8-4,bgbc,area_ha,ha,51.078453,AB-MAIN-9fed34a8,,https://zenodo.org/records/15777016
carbon_stock-9fed34a8-5,bgbc,mean_act,tC/ha,1.0,AB-MAIN-9fed34a8,,https://zenodo.org/records/15777016
carbon_stock-9fed34a8-6,bgbc,mean_prim,tC/ha,13.0,AB-MAIN-9fed34a8,,https://zenodo.org/records/15777016
carbon_stock-9fed34a8-7,soc,area_ha,ha,51.078453,AB-MAIN-9fed34a8,,https://zenodo.org/records/15777016
carbon_stock-9fed34a8-8,soc,mean_act,tC/ha,90.0,AB-MAIN-9fed34a8,,https://zenodo.org/records/15777016
carbon_stock-9fed34a8-9,soc,mean_prim,tC/ha,90.0,AB-MAIN-9fed34a8,,https://zenodo.org/records/15777016
carbon_stock-ca9625ce-1,agbc,area_ha,ha,50.716377,AB-MAIN-ca9625ce,,https://zenodo.org/records/15777016
carbon_stock-ca9625ce-2,agbc,mean_act,tC/ha,6.0,AB-MAIN-ca9625ce,,https://zenodo.org/records/15777016
carbon_stock-ca9625ce-3,agbc,mean_prim,tC/ha,44.0,AB-MAIN-ca9625ce,,https://zenodo.org/records/15777016
carbon_stock-ca9625ce-4,bgbc,area_ha,ha,50.716377,AB-MAIN-ca9625ce,,https://zenodo.org/records/15777016
carbon_stock-ca9625ce-5,bgbc,mean_act,tC/ha,2.0,AB-MAIN-ca9625ce,,https://zenodo.org/records/15777016
carbon_stock-ca9625ce-6,bgbc,mean_prim,tC/ha,12.0,AB-MAIN-ca9625ce,,https://zenodo.org/records/15777016
