land_cover_id,year,modis_land_cover,esa_land_cover,npv_biome_type,main_id,source_id
land_cover_id-5801b453-1,2021,Woody Savannas,Built-up,,QC-MAIN-5801b453,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-d29e0839-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,QC-MAIN-d29e0839,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-f1ff4920-1,2021,Woody Savannas,Tree Cover,Cool Mixed Forest,QC-MAIN-f1ff4920,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-4ea8ac9d-1,2021,Grasslands,Moss & Lichen,,NU-MAIN-4ea8ac9d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e7e6a960-1,2021,Grasslands,Bare/Sparse Vegetation,Cool Mixed Forest,QC-MAIN-e7e6a960,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-aeafbb59-1,2021,Grasslands,Bare/Sparse Vegetation,Cool Evergreen Needleleaf Forest,ON-MAIN-aeafbb59,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c0660aec-1,2021,Grasslands,Tree Cover,,QC-MAIN-c0660aec,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e51eda66-1,2021,Mixed Forests,Built-up,Cool Mixed Forest,QC-MAIN-e51eda66,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-1f126a43-1,2021,Savannas,Built-up,Cool Mixed Forest,ON-MAIN-1f126a43,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-730aefe3-1,2021,Grasslands,Bare/Sparse Vegetation,Low and High Shrub Tundra,NU-MAIN-730aefe3,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-8b0264c9-1,2021,Grasslands,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,NU-MAIN-8b0264c9,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-5d21dbd5-1,2021,Woody Savannas,Permanent Water Bodies,,MB-MAIN-5d21dbd5,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-74997012-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,ON-MAIN-74997012,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-687b8c8d-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-687b8c8d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-7607a50e-1,2021,Woody Savannas,Built-up,Cool Mixed Forest,ON-MAIN-7607a50e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-52c01ae4-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-52c01ae4,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-eac5a52b-1,2021,Mixed Forests,Built-up,Cool Mixed Forest,QC-MAIN-eac5a52b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-81a288d0-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-81a288d0,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c8966bdc-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-c8966bdc,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-eab8c362-1,2021,Urban & Built-up,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-eab8c362,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-8c7063b2-1,2021,Open Shrublands,Tree Cover,Cool Mixed Forest,QC-MAIN-8c7063b2,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-3ef4f421-1,2021,Evergreen Needleleaf Forest,Grassland,Cool Evergreen Needleleaf Forest,BC-MAIN-3ef4f421,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-9fed34a8-1,2021,Grasslands,Built-up,Cold Evergreen Needleleaf Forest,AB-MAIN-9fed34a8,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-33c09b8b-1,2021,Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,QC-MAIN-33c09b8b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-084bd95c-1,2021,Grasslands,Tree Cover,Cold Evergreen Needleleaf Forest,QC-MAIN-084bd95c,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-1eee4ace-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-1eee4ace,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-844dcc47-1,2021,Grasslands,Tree Cover,Cool Mixed Forest,QC-MAIN-844dcc47,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e25eed27-1,2021,Permanent Wetlands,Built-up,Cool Mixed Forest,QC-MAIN-e25eed27,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-4c35e094-1,2021,Water,Built-up,Cool Mixed Forest,ON-MAIN-4c35e094,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-8825d90d-1,2021,Woody Savannas,Tree Cover,Cool Mixed Forest,ON-MAIN-8825d90d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-de2e2f8e-1,2021,Croplands,Cropland,Steppe,SK-MAIN-de2e2f8e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e928d96a-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,ON-MAIN-e928d96a,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-4f11f183-1,2021,Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,NT-MAIN-4f11f183,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-46f71d5b-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,ON-MAIN-46f71d5b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-5154702a-1,2021,Grasslands,Moss & Lichen,Graminoid and Forb Tundra,NU-MAIN-5154702a,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
