population_id,year,buffer_size,total_population,main_id,source_id
population-5801b453-2025-1,2025,10km,1305.9018602927854,QC-MAIN-5801b453,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-5801b453-2025-2,2025,50km,63977.83057428292,QC-MAIN-5801b453,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-5801b453-2030-1,2030,10km,1338.0889845531553,QC-MAIN-5801b453,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-5801b453-2030-2,2030,50km,65434.15409766603,QC-MAIN-5801b453,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-d29e0839-2025-1,2025,10km,0.0,QC-MAIN-d29e0839,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-d29e0839-2025-2,2025,50km,919.5582553863928,QC-MAIN-d29e0839,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-d29e0839-2030-1,2030,10km,0.0,QC-MAIN-d29e0839,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-d29e0839-2030-2,2030,50km,940.0397387087445,QC-MAIN-d29e0839,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-f1ff4920-2025-1,2025,10km,90.6728908880479,QC-MAIN-f1ff4920,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-f1ff4920-2025-2,2025,50km,50369.118121940024,QC-MAIN-f1ff4920,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-f1ff4920-2030-1,2030,10km,92.72419531885625,QC-MAIN-f1ff4920,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-f1ff4920-2030-2,2030,50km,51512.92938187669,QC-MAIN-f1ff4920,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-4ea8ac9d-2025-1,2025,10km,0.0,NU-MAIN-4ea8ac9d,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-4ea8ac9d-2025-2,2025,50km,0.0,NU-MAIN-4ea8ac9d,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-4ea8ac9d-2030-1,2030,10km,0.0,NU-MAIN-4ea8ac9d,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-4ea8ac9d-2030-2,2030,50km,0.0,NU-MAIN-4ea8ac9d,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e7e6a960-2025-1,2025,10km,4490.380217639397,QC-MAIN-e7e6a960,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e7e6a960-2025-2,2025,50km,53446.90496249795,QC-MAIN-e7e6a960,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e7e6a960-2030-1,2030,10km,4588.886652095737,QC-MAIN-e7e6a960,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e7e6a960-2030-2,2030,50km,54655.0339465118,QC-MAIN-e7e6a960,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-aeafbb59-2025-1,2025,10km,0.0,ON-MAIN-aeafbb59,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
