prod_id,year,geography,commodity,reference_point,material_type,data_type,unit,value,value_tonnes,comment,main_id,facility_group_id,company_id,source_id
PROD-3aa117d8-2023-1,2023,Canada,Aluminum,Intermediate metal produced,Smelter production,Capacity,t,473000.0,,,QC-MAIN-3aa117d8,GRP-677b5973,CMP-7a096012,SRC_RioTinto_the-industry
PROD-3aa117d8-2023-2,2023,Canada,Aluminum,Intermediate metal produced,Smelter production,Production,kt,484.0,484000.0,,QC-MAIN-3aa117d8,GRP-677b5973,CMP-7a096012,SRC_RioTinto_rt-fact-book-addendum
PROD-8d6616b4-2023-1,2023,Canada,Aluminum,Intermediate metal produced,Smelter production,Capacity,t,620000.0,,,QC-MAIN-8d6616b4,GRP-677b5973,CMP-7a096012,SRC_RioTinto_the-industry
PROD-8d6616b4-2023-2,2023,Canada,Aluminum,Intermediate metal produced,Smelter production,Production,kt,634.0,634000.0,,QC-MAIN-8d6616b4,GRP-677b5973,CMP-7a096012,SRC_RioTinto_rt-fact-book-addendum
PROD-4c35e094-2024-1,2024,Canada,Steel,Refined metal produced,Flat,Production,mt,3.1,3100000.0,"Integrated, mini-mill",ON-MAIN-4c35e094,,CMP-3775c12e,SRC_ArcelorMittal_Factbook_2024
PROD-c1c7eb99-2023-1,2023,Canada,Aluminum,Intermediate metal produced,Smelter production,Capacity,t,234000.0,,,QC-MAIN-c1c7eb99,GRP-677b5973,CMP-7a096012,SRC_RioTinto_rt-fact-book-addendum
PROD-c1c7eb99-2023-2,2023,Canada,Aluminum,Intermediate metal produced,Smelter production,Production,kt,172.039452,172039.45200000002,,QC-MAIN-c1c7eb99,GRP-677b5973,CMP-7a096012,SRC_RioTinto_rt-fact-book-addendum
PROD-52c01ae4-2023-1,2023,Canada,Aluminum,Intermediate metal produced,Capacity,Capacity,t,312000.0,,,QC-MAIN-52c01ae4,,CMP-140e111b,SRC_AlcoaCorporation_the-industry
PROD-c8966bdc-2023-1,2023,Canada,Aluminum,Intermediate metal produced,Capacity,Capacity,t,462000.0,,,QC-MAIN-c8966bdc,,CMP-dc21de8a,SRC_AlcoaCorporationandRioTintoAluminumInc._the-industry
PROD-089f3c60-2022-1,2022,Canada,Iron,Usable ore,Concentrate,Production,wmt,7900000.0,7900000.0,"Turned to million metric tons when compared to Jasansky et al (2023), although the report says 7.9 'wet metric tons'",QC-MAIN-089f3c60,,CMP-c08ac7d7,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
