reserves_id,year,commodity,reserves_resources,reserves_resources_type,ore,ore_unit,grade,grade_unit,metal_content,metal_content_unit,recovery_rate,comment,main_id,facility_group_id,source_id
RES-d29e0839-2022-1,2022,Gold,Resources,Indicated,755000,Mt,7.14,g/t,173300.0,oz,,,QC-MAIN-d29e0839,,SRC_AbcourtMinesInc_TR_Abcourt_Geant_Dormant_2023
RES-d29e0839-2022-2,2022,Gold,Resources,Inferred,884000,Mt,8.74,g/t,248300.0,oz,,,QC-MAIN-d29e0839,,SRC_AbcourtMinesInc_TR_Abcourt_Geant_Dormant_2023
RES-e7e6a960-2024-1,2024,"Gold, silver",Reserves,Proven,40419,kt,0.52,g/t,680.0,koz,93.23333333333335,,QC-MAIN-e7e6a960,,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-e7e6a960-2024-2,2024,"Gold, silver",Reserves,Probable ,87128,kt,2.43,g/t,6818.0,koz,93.23333333333335,,QC-MAIN-e7e6a960,,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-e7e6a960-2024-3,2024,"Gold, silver",Resources,Indicated,52873,kt,1.9,g/t,3232.0,koz,,,QC-MAIN-e7e6a960,,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-e7e6a960-2024-4,2024,"Gold, silver",Resources,Inferred,144334,kt,2.12,g/t,9857.0,koz,,,QC-MAIN-e7e6a960,,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-0ec39ce0-2024-1,2024,Gold,Reserves,Proven,128454,kt,0.81,g/t,3333.0,koz,92.0,,NT-MAIN-0ec39ce0,,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-aeafbb59-2024-1,2024,Gold,Reserves,Probable ,666651,kt,0.73,g/t,15718.0,koz,92.0,,ON-MAIN-aeafbb59,,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-aeafbb59-2024-2,2024,Gold,Resources,Measured,33923,kt,1.1,g/t,1201.0,koz,,,ON-MAIN-aeafbb59,,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-aeafbb59-2024-3,2024,Gold,Resources,Indicated,661068,kt,0.69,g/t,14592.0,koz,,,ON-MAIN-aeafbb59,,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-aeafbb59-2024-4,2024,Gold,Resources,Inferred,125335,kt,1.67,g/t,6742.0,koz,,,ON-MAIN-aeafbb59,,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-c0660aec-2024-1,2024,"Gold, silver",Reserves,Proven,6318,kt,1.34,g/t,273.0,koz,81.95,,QC-MAIN-c0660aec,,SRC_AgnicoEagleMinesLimited_2024_MRMR
