source_id,source_provenance,source_name
10.1038/s41597-024-03116-3,dataset,A Comprehensive Historical and Geolocalized Database of Mining Activities in Canada
https://www.wri.org/data/aqueduct-global-maps-40-data,dataset,Aqueduct 4.0
https://doi.org/10.5281/zenodo.5006332,dataset,"Areas of global importance for conserving terrestrial biodiversity, carbon and water"
https://pubs.acs.org/doi/10.1021/acs.est.4c05293,dataset,Byproduct-to-Host Ratios for Assessing the Accessibility of Mineral Resources
https://climate-scenarios.canada.ca/?page=CanDCS6-indices,dataset,CMIP6 statistically downscaled climate indices (CanDCS-M6)
http://journals.librarypublishing.arizona.edu/jpe/article/id/1932/,dataset,Environmental Justice Atlas
https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,dataset,GHG from large facilities
https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,dataset,Global Human Settlement Layer (GHSL)
https://doi.org/10.1038/s43247-023-00805-6,dataset,Global Mining Footprint Mapped from High-Resolution Satellite Imagery
https://greifswaldmoor.de/global-peatland-database-en.html,dataset,Global Peatland Database
https://tailing.grida.no/,dataset,Global Tailings Portal
https://doi.org/10.1038/s41597-023-02549-6,dataset,High-Resolution (1 km) Koppen-Geiger Maps for 1901–2099 Based on Constrained CMIP6 Projections
http://www.landmarkmap.org,dataset,Indigenous Peoples’ and Local Community Lands and Territories
https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction,dataset,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
https://www.nature.com/articles/s41597-025-05296-y,dataset,Machine learning-enhanced monitoring of global copper mining areas
https://miningdataonline.com/property/61/Mount-Polley.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/3134/Elk-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/1/copper-mountain-mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/2/Gibraltar-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/246/Red-Chris-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/50/Highland-Valley-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/59/Mount-Milligan-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/4651/Scully-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/23/Carol-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/941/Howse-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/454/Eagle-Mine-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/944/Atlantic-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/40/Gahcho-Ku%C3%A9-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/57/Mary-River-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/420/Hollinger-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/1752/Magino-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/13/Detour-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/1238/Mishi-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/962/Mont-Wright-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/3027/Bloom-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/968/Renard-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/963/Fire-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/1628/North-American-Lithium-NAL-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/20/Canadian-Malartic-Complex.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/955/Lac-Tio-(Havre-St-Pierre)-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/1596/Eagle-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/17/Ekati-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/66/Porcupine-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/69/Rainy-River-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/55/Lac-des-Iles-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/77/Westwood-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/1603/Nunavik-Nickel-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/24/Casa-Berardi-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/44/Goldex-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/11/new-afton-mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/14/Diavik-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/1731/Borden-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/977/Tanco-Bernic-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/1589/Sleeping-Giant-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/417/Voiseys-Bay-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/4563/Keno-Hill-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/64/Myra-Falls-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
