waste_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id
WASTE-e7e6a960-2023-1,2023,waste,Total waste generated,t,19597683.0,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
WASTE-e7e6a960-2023-2,2023,waste,Total waste rock mined,t,,Not available for 2023,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
WASTE-e7e6a960-2023-3,2023,waste,Total mill tailings produced,t,19583538.0,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
WASTE-e7e6a960-2023-4,2023,waste,Total mined material,t,19583538.0,,QC-MAIN-e7e6a960,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
WASTE-aeafbb59-2023-1,2023,waste,Total waste generated,t,110071399.0,,ON-MAIN-aeafbb59,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
WASTE-aeafbb59-2023-2,2023,waste,Total waste rock mined,t,84640098.0,,ON-MAIN-aeafbb59,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
WASTE-aeafbb59-2023-3,2023,waste,Total mill tailings produced,t,25430000.0,,ON-MAIN-aeafbb59,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
WASTE-aeafbb59-2023-4,2023,waste,Total mined material,t,110070098.0,,ON-MAIN-aeafbb59,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
WASTE-c0660aec-2023-1,2023,waste,Total waste generated,t,3268938.1,,QC-MAIN-c0660aec,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
WASTE-c0660aec-2023-2,2023,waste,Total waste rock mined,t,468055.0,,QC-MAIN-c0660aec,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
WASTE-c0660aec-2023-3,2023,waste,Total mill tailings produced,t,2800764.0,,QC-MAIN-c0660aec,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
WASTE-c0660aec-2023-4,2023,waste,Total mined material,t,3268819.0,,QC-MAIN-c0660aec,,CMP-6265c407,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
